almost bedtime 
doing laundry 
in geography 
me toooo 
english sadly 
ughhhh bus 
hungry ! 
hungry ! 
hungry ! 
hungry ! 
hungry ! 
hungry ! 
butterfly died 
im not 
no crunchy 
thats sad 
missing halo 
me too 
without me 
long distance.. 
missing someone 
sounds funn 
sent wednesday 
exam time 
feeling ordinary 
me too 
love hurts 
ewwwwwwww..no stars 
is tired 
thank you 
is positive 
tummy hurts 
stomach ache 
hungry ! 
hungry ! 
hungry ! 
hungry ! 
hungry ! 
hungry ! 
hungry ! 
missing someone 
seriously . 
stomach cramps 
goodbye larry 
downloading imagemagick 
sorry . 
doing homework 
sold out 
awww fuck 
sorryyyyyyyyyyyyyyy buttface 
oh jesus 
is worried 
fuckin bored 
no ! 
im sorry 
feelings hurt 
super exhausted 
bored now 
exam day 
missing lyndy 
stomach ache 
amen . 
period paaaaain 
ugh-study time 
meany pants 
bad hangover 
im confused 
that sucks 
rather hungover 
that sucks 
poorly ! 
too bad 
soon ! 
workworkwork . 
doing assignments 
hates learning 
me too 
too early 
homework ! 
hates thunderstorms 
studying again.. 
wompppp wompp 
is notopic 
idem . 
its closed 
sat time 
must work 
is bord 
at work 
heart-beating again 
headache ! 
@ work 
wolverine sucked 
doing homework 
sats today 
iz ronery 
belly hurts 
just broked 
lost again 
me too 
sats today 
hangover . 
at work 
you crazy 
anxiety sucks 
three hours 
revision time 
i know 
thats horrible 
me too 
having moodswings 
feeling not-so-good-today 
that sucks 
cant focus 
rainy saturday 
me neither 
work today 
tireeeeed . 
awake already 
doctors appointment.. 
crummy weather 
want cake 
twitter membosankan 
yea , 
why ? 
zip it 
itchy eyes 
rainyrainy day 
update /dk242e 
2nd place 
fuck you 
i wish 
*offers cake* 
so tired 
rained out 
guilty ... 
my xbox 
totally nothing 
i want 
need coffffffeeeeeee 
yes please 
very bored 
i know 
headache = 
cleaninggg . 
needs money 
fuck today 
sorry sweetie 
back hurts 
is awake 
sorry /4ewe1 
crappy day 
at work 
sorry cant 
at work 
bitch . 
work again 
no megamillions 
its raining 
god dammit 
i know 
not great 
its coming 
missing someone.. 
very hungover 
that stinks 
human saxaphone 
in trouble 
booooo work 
leaving clemson 
borrrrrreeeeeeeeeeeed ! 
over it 
noctural myclonus 
poor rob 
thats wack 
poor snakey 
sooooo cold 
hates finals 
still hungover 
ah shit 
i wish 
media homework 
whatsaid . 
feels defeated 
you suck 
jibbbbbbssssss lol 
still up 
awake already 
sorry baby 
just chocked 
/4gvdf - 
fuck ... 
me too 
/4gvdf - 
moving overseas 
sickly goodnight 
aw postsecret 
what happened 
oh yeah 
yessss boooo 
doing homework 
i know 
i knowwww 
sensitive toooth 
being bored 
dont ask 
your nice 
your mean 
wants breakfast 
ugh homework 
its raining 
very hungoverrrrrrrrrrrrrrr 
so disappointing 
mai thi 
me too 
laying down 
fucking hungry 
do what 
doing homework 
is tired 
too tired 
blown tire 
daaaaaaaaaaaammmmmnnn yooouuuu 
bakit ? 
meow ? 
too bored 
cleaning house 
at work 
exams tomorrow 
im sorry 
me too 
working inside 
shame . 
the come.. 
still cold 
so boooored 
doing revision 
that sucks 
rain again 
so annoying 
how horrible 
homework timeee 
to doente 
heartbreaking ! 
me either 
stomach ache 
unlucky . 
omg why 
back home 
sucks bad 
uni work 
hate revision 
worstttt choruses 
work today 
nnnnnope ! 
more work 
fully depressed 
i know 
why the 
bad day 
must.go.to.bed.early ! 
english homework 
work time 
very far 
haha idk 
wants hubby 
f***ing revision 
rainy sunday 
i wantahora 
sounds delicious 
im board 
umhh how 
finals ... 
at work 
monday again 
i miss 
is working 
lol srs 
injured myself 
monday again 
doing homework 
homework /sun 
going home 
ahh okay 
is crying 
exactly . 
what ? 
that stinks 
salaried . 
feeling down 
so sorry 
fucking faggot 
sunday not-so-funday 
really hungry 
doing homework 
dorm=prison . 
stupid essay 
working madly 
you should 
so hard 
doing homework 
at work 
misses lillian 
not yet 
imiss you 
you douche 
guess not 
its over 
heading hommmmeeee 
saddd ... 
yucky rain 
tummy ache.. 
doing homework 
back pain 
work tomorrow 
my head 
coming down 
goin home 
nope sorry 
miss you 
i would 
i know 
poor chester 
- someday.. 
really upset 
im dissappoiintteeedddd 
rub them 
farewell weekend 
me too 
double english 
still revising 
no ! 
thats sad 
soar throat 
aww no 
i got 
me too 
at work 
monday morning 
poor drew 
rainy week 
why not 
me too 
wtf ? 
at work 
why meeee 
i know 
rain sucks 
really ? 
long drive 
headache ! 
how sad 
that sucks 
hammer time 
fuck it 
that sucks 
its over 
painfully tired.. 
misses eveykins 
not again 
soar throat 
sadly no 
hey dad 
doing english 
upset as 
monday ... 
me neither 
very sad 
next week 
ugh . 
uh oh 
tooooth aaaacheeee 
why ? 
raining ... 
headaches suck 
apostrophe fail 
doing laundry 
lucky you 
aww ... 
working again 
nope . 
doing homework 
is cramming 
insomniugh . 
cloudy monday 
studying today 
i wish 
working unpassionately 
stomach ache 
waiting tram 
its early 
idon'tfeelikeironingggggg . 
at work 
yes..tooearly agree 
still working 
art assignment 
email overload 
revision ! 
at work 
musicals over 
very painful 
is coughing 
sushi groove 
monday morning 
9how sad 
tooth hurts 
no followers 
again decentenralized 
again decentralized 
raining ... 
en claseeeeeeeee 
i swear 
sport homeowork 
its horrible 
is cold 
yea . 
work soon 
tonsillitis again 
fuck nausea 
overtime again 
sore throat 
not well 
english homework 
no waves 
at work 
is hopeless 
knocked out 
chin up 
face hurts 
insomnia sucks 
rip adam 
shes ming 
sarcasm hurts 
im sorry 
me too 
exam time 
making homework 
jury duty 
just tbh 
its suspended 
at work 
work ugh 
ofi monday 
monday morning 
monday fb 
monday ugh.. 
really confused 
monday again 
math homework 
english revision 
agh damn 
textiles coursework 
finals today 
fuckin weather 
soooo cold 
tummy hurts 
it coursework 
examens oefenen 
monday blues 
bye twitter 
why ? 
me too 
monday ... 
soooooo misunderstood 
at work 
whyy ? 
doing learndirect 
slept weird.. 
oh dear 
thought so 
revision sucks 
that hurt 
having cough.. 
nope . 
sore throat 
shoulder cramp 
ew icarly 
so bored 
dizzy again 
ugh noooo 
thank you 
growing pains 
damned headcolds 
ahhhh booo-urns 
nothing grrr 
health poster 
me too 
me too 
yes very 
i knows 
missed him 
bummer ! 
really sad 
sad day 
haha awe 
and no 
tummy ache 
hawks lost 
boys suck 
yay ! 
homework blows 
hey . 
missing everyone 
stress . 
boooooo hooooooo 
this sucks 
boring homework 
oh noes 
missing becky 
snl ? 
dreading surgeryy 
freaking mavs 
*hugs you* 
more homework 
not here 
really ? 
so.. cold.. 
this hurts 
me too 
hating tn 
its ok 
come back 
why ? 
ugh . 
mothersday sux 
update already 
poooor canucks 
penises everywhere 
r.i.p . 
canucks lost 
thank u 
whatever . 
no followers 
horrible headache 
bar closed 
: bummer 
too bad 
/4ufle - 
headache ... 
work 12-16 
nathan . 
june 12th 
awwww noooo 
hate sunday 
shame ! 
rainy morning 
poor baby 
that sucks 
is tired 
come back 
got cold 
is board 
that sucks 
drinking injury 
doing nothing 
yak shaving 
is back 
@ work 
tomorrow . 
rainny day 
exam tomorrow 
homework ... 
comfort food 
its freezing 
im disappointed 
studying today 
why ? 
thanks ben 
misses babbbbbbby 
feeling stressed 
sorry .com 
homework ... 
it hurt 
sorry honey 
must learn 
work today 
is poorly 
seriously hungover 
hates sciences 
is tired 
cramping ... 
head hurts 
rain again 
hate holidays 
spring/summer cleaning 
that sucks 
very tired 
headed home 
is working 
me too 
i know 
give up 
hate summers 
tummyacheness ! 
crying ... 
very sad 
dreading today 
ahhhhhhh ! 
coursework time 
hate that 
how sad 
tomorrow ! 
german revision 
aww man 
is hurty 
leafs suck 
i know 
sunburnt knees 
bad day 
i miss 
damn you 
everyones leaveinggggggg 
so jealous 
beautiful dayyyy 
is heart-broken 
that sucks 
me too 
alright . 
surviving monday 
oh my 
why ? 
me too 
third familyforce5 
thats depressing 
r.i.p . 
im jealous 
how sad 
headache alert..ugh 
that sucks 
soar throat 
so sniffly 
sad news 
its trueeeee 
very doubtful 
love you 
starting finalsss 
doing homework 
coke ... 
collegian . 
oh noes 
more homeworkkkkkkkkkkkkk 
no idea 
no haha 
she died 
head hurts 
work tonight 
another monday 
somos 2 
haates thorim 
damn sorry 
historrrrry homework 
canucks lost 
good season 
oh goodness 
being mothers 
oh ! 
poor baby 
head hurts 
canucks lost 
not particularly 
same here 
awww lol 
insomnia again 
tummy hurts 
fiiine . 
shuuuut uuuup 
thats sad 
unfortunately not 
please ? 
yup . 
hates finals 
poor thing 
west loses 
headache . 
miss someone 
im jealous 
chevy /dogbook/profile/view/5914914 
ahhhh ... 
head hurts.. 
procastinating again 
stress . 
me 2 
just working 
hold me 
empty bed= 
im srry 
nope . 
i know 
work ... 
uh oh 
bad storms 
no seat 
wellington ? 
oh no 
rainy day 
studying christianity.. 
mine too 
not fair 
nope..i know 
goodnight twitter 
work time 
no way 
deccan chargers 
not well 
miss youuu 
still up 
misses someone 
bored today 
me too 
ii hurt 
tell him 
why ? 
is sad 
ohw nopants 
unbelieveable ! 
is tired 
empty bed 
what happened 
ï¿½nimo ... 
negative savings 
its raining 
why ? 
photoshop sucks 
absolutely frozen 
need coffee 
insomnia sucks 
i agree 
very . 
very sore 
headache ! 
yup . 
yeeps ! 
back aches 
bloody headache 
not yet 
wow . 
birthday over 
injured /rco5ln 
at work 
multiple fail 
gooodbye ithaca 
think + 
tight deadlines 
not really 
is tired 
sorry drew 
twitters dead 
work time 
at work 
locked out 
bummer ! 
strep throat 
not me 
beer delivery 
never again 
last days 
strep throat 
hate rain 
oh no 
wasting time 
mreh . 
entering austin 
fazendo powerpoint 
beef hotdogs 
oucchh gusiku 
that sucks 
home ec 
boo work 
i did 
tummy rumbled 
c sharping 
poor mustang 
moldy hay 
headed home..sober 
packing . 
real ill 
why ? 
cuddle weather 
tummy hurts 
me neither 
me too 
tummy ache 
hates thunderstorms 
sunburn..hurts ! 
i know 
haha bully 
come backk 
still lonely 
want curry 
sorry baby 
doing homework 
misses northridge 
why ? 
belly ache 
messed up 
at work 
: dang 
they hatin 
painting ... 
at work 
need food 
feeling neglected 
tht sucks 
no message 
i know 
miss youuuuuuu 
lol saddd 
lol aw 
is confused 
got tootheache 
virginia beach 
pimple attack 
bad food 
still up 
caught cold 
bein bored 
tummy ache 
housework bites 
wants cupcakes 
goodbye warney 
phones dead 
times up 
missing thailand 
it is 
hate cats 
is raining 
more work 
not well 
packing . 
homework lol 
rainy sunday 
working m'dear 
oh dear 
has hiccups 
tummy ache 
going nowhere 
not me 
is revising 
its raining 
going down 
yeah ! 
as usual 
pounding head 
is just 
wants snoww 
work soon 
hungry now 
pink ? 
house work 
still revisin.. 
stresssedd lads 
aww well 
iam bored.. 
am cold 
shame wahahaa 
why ? 
fuck off 
exploring twitter 
cramming.. again 
i know 
is exhausted 
3turnoffwordsunfollows us 
is revisin 
office ... 
doin work 
sad faec 
damn . 
morning twitter 
how ? 
geography coursework 
my tummy 
why ? 
its saaad 
is selfish 
at work 
poor you 
lovely day 
will auch 
oh no 
yep ! 
is tired 
huge headache 
whats wrong 
food poisoning 
x infinity 
awww gokeeeeey 
bad coughing 
work 9-130 
aww . 
wants chocolate 
take care~ 
exams suck 
me too 
is stressed 
leaving jersey 
going home 
very tired 
missing russ 
probably . 
work 1-6 
plans ruined 
no workie 
dont know 
too late 
rite aid 
yea sorry 
clueless /5dbax 
studying sunday 
not cool 
oh no 
no ... 
no . 
champagne hangover 
coming back 
coming home 
im confused 
going home 
revision sucks 
i sawry 
leaving boone 
i know 
graduation ... 
service sucks 
i shoulda 
that sucks 
hates revision 
mouth hurts 
house work 
cleaning time 
so tired 
its rainin 
english project 
sad now 
homework time 
doing homeworks 
war ! 
ouch ! 
mis condolencias 
jose cuervo 
oh noes 
molly ... 
effing hungover 
tummy ache 
very rainy 
is down 
battlenick yup 
its sad 
fuck sdlfkjdasklfjdklsfj 
baaad headache 
realllllyyy upset 
how rude 
already missingand 
me too 
im crying 
feeling shitty 
bronwyns bored 
i know 
shittty moood 
chemistry ! 
im sry 
agreed . 
powers out 
earthquake ! 
earthquack ! 
earthquake wahhhhhhhh 
earthquake ! 
oh dear 
yeauuhhh . 
omg earthquake 
neck hurts 
monday blues 
so tired 
ughh headache 
hiccups suck 
mellow yorkie 
no ? 
i agree 
yes please 
sorry stu 
rip corey 
awwh byeee 
a claseee 
monday morning 
likes sugar 
: no 
ohh noes 
how can 
twitter ? 
why ? 
mondays suck 
aww . 
exam today 
winter uniform 
shit . 
me nither 
please ? 
my ovaries 
leg hurts 
ill again 
hello back 
stummy hurts 
urghh exams 
monday ... 
work sucks 
farewell xxxx 
broke something 
another no 
headphones broken 
lazy monday 
lonely bed 
fantastic . 
at work 
fuck .. 
rejection hurts 
armpit hurts 
i am.. 
so tired 
long day 
has colds 
need tablets 
public pool 
so tired 
f*ck it 
back home 
scary dream 
*hug* x 
not yet 
typischer montags-stress 
bored already 
at work 
very bad 
still up 
tired/cranky today 
is awake 
whewwwwwww ! 
no free-to-air 
monday ... 
s.a saaaaaaaaaaaaaaaaaaaaaaaaaaad 
ill fluey 
peircings hurt 
poor you 
social exam 
hectic monday 
abit mad 
final exams 
comfy clothes 
i know 
tummy ache 
science revision 
why ? 
lucky you 
sad monday 
me . 
work work 
fuck economics 
french lunch 
helgevakt ja 
thanks alot 
last week 
at work 
that sucks 
yeah ... 
poor thing 
i didnt 
so tired.. 
so tired 
- missyou 
just working 
business coursework 
sorry babe 
feeling threatened 
work bound 
at class 
holy shit 
8:00am final 
its okay 
maths exam 
sick again 
sadly not 
miss you 
mpi woes 
shower done 
soo cold 
maths exammmxx 
is sad 
even worse 
exam prep 
still waiting 
assignment . 
howcome ? 
coughing alot 
not here 
flight delayed 
no dreams 
mhhhhhhhhhh.feeling guilty 
work again.. 
very doubtful 
halfway through 
breath-taking . 
thanks . 
awwww hunny 
in class 
spanish final 
too early 
pusing..pusing..pusing..mual..mual..mual ... 
yay/oh noes 
sore throat 
work ... 
yeahuh ! 
that stinks 
@ work 
alone again 
ew.. classsss 
carpool 'd 
queing again 
itï¿½s raining 
morning headache 
homework time 
homework ! 
me too 
aching gums 
gross . 
econ exam 
thanks ? 
is away 
that sucks 
terribly room-sick 
too late 
so tired 
i know 
me too 
working today 
at work 
at work 
working arggggghhhhhh 
at work 
that sucks 
financial administration 
bad day 
sore throat 
ah work 
leaving . 
how ? 
sorry sweets 
work now 
so tired 
itchy everywhere 
me too 
epic fail 
work soon 
shakes head 
so tired 
denver won 
thank you 
imy ! 
bummer ! 
but missed 
that hurts 
so tired 
*glomps you* 
huhuhu imy 
headache . 
that sucks 
8:19 here 
i agree 
very sad 
ill again 
meeting time 
very sad 
not possible 
doctors soon 
battery died 
yea alone 
not happy 
feelin down 
my sympathies 
power cut 
work again 
poor thing 
that sucks 
work soon 
that sucks 
lonely ... 
effing awful 
just online 
heart breaking 
thats sad 
by myself 
follow people 
at work 
please rain 
really tired 
leavin soon 
bum ! 
headache . 
laptop deaded 
bad day 
oh guuuuuy 
really ill 
aaaaaahh iri.. 
so bored 
what it 
/5om6y - 
alles ! 
sorry charles 
doing dishes 
lonely , 
you wish 
i wish 
is disappointed 
tummy huurts 
is exhausted 
i know 
sounds lame 
raining again 
headache . 
mssn ? 
grad practice 
work 9:45-6 
awwwww lol 
@ everything 
uh oh 
right ? 
poor dell 
work time 
sore throat 
spanish next 
me too 
english class 
using twitter 
true enough 
5am bedtime 
is poorly 
batuk ughhhh 
throat hurts 
ugh . 
me too 
i miss 
igotta headache 
i havelepracy 
she delt 
is late 
thanks kacie 
not yet 
so jealous 
want pancakes 
hates this 
tummy hurts 
no worky 
essay writing 
no dodgems 
doctors office 
wants starbucks 
someone tweet 
boooooooo ... 
very doubtful 
third semester 
exhausted . 
soooo boreeeed 
nothing anymore 
why ? 
very doubtful 
so tired 
hate leaving 
major headache 
exams suck 
science class 
ughhhhhhhhhhhhhhh . 
wants buttons 
still ironing 
ah well 
toe hurts 
and me 
waking up 
so tired 
malfunctioning motherboard.. 
shucks ... 
adam lambert 
oh honey 
dragging today 
unfortunately no 
unanswered question/adrsq 
kinder graduation 
work 1130-8 
me too 
not helping 
still waiting 
super bummin 
9dayss . 
i know 
thatï¿½s death 
ohh dear 
still working 
please ? 
that sucks 
been there 
i would 
shucks ! 
why ? 
why ? 
china coin 
me too 
work 12-8 
at work 
frickin summer 
so tired 
at work 
bored again 
... . 
is jobless 
im dedicated 
aww sorry 
not me 
my legs 
tooth ache 
yikes . 
headache . 
epoxy headache 
ughh headached 
me toooooooo 
idk how 
english withand 
without pc 
shoe fail 
e'zacly ! 
come back 
awful ! 
whelk tumefy 
gross mary 
lost phone 
doing homework 
itchy eyes 
i understand/1mhw 
9th week 
pretty pissed/dissapointed 
unfortunately no 
boo cowtown 
you suck 
rip desiree 
me too 
thats sucks 
that sucks 
bad headache 
the end 
maths homework 
no navi 
me too 
apathetic . 
haha fine 
that sucks 
ie8 issues/ie8overflowandexpandingboxbugs.htm 
finals today 
mee too 
that sucks 
really sick 
ouch ... 
is gone 
i knowwww 
missing wednesday 
no corkscrew 
me too 
that sucks 
3breakupwordsbeats me 
ugh headache 
xdhdjsjcnfjirj goodnight 
exhausted . 
how rude 
god dammit 
your mean 
sorry ... 
cookies ? 
contemplating life 
just.. agh 
dontlietomecuzicanttakeit iheartsyouharderlikewhoa 
misses maddy 
noooooooooo ! 
rough day 
sorry . 
again ? 
oh why 
rip evey 
same here 
very doubtful 
is lonelyy 
at work 
thats sad 
boys succk 
george /dogbook/profile/view/6094951 
emotionally tired 
or not 
stomach cramps 
working sucks 
the mannequin 
at work 
what ? 
exam day 
try again 
really ? 
besok buuuuu 
so worried.. 
you suck 
me too 
me either 
they closed 
broken charger 
youstinkatrespondingtotexts ! 
miss 16'th 
me too 
extremly deep 
already misses 
unfortunately not 
missing everyone 
absolutely nothin 
tummy hurts 
not well 
no fair 
tummy hurts 
madd bored 
wants milk 
hampa hatiku 
lonely .. 
damned hordies 
never invite 
miss you 
mine too 
stupid weather 
this year 
ahhh fusterated 
assignments ! 
prepare yourself 
today yeah 
homework day 
picat 21 
so cold 
ibood down 
so tired 
me ! 
working now 
my bad 
oh no 
davey is 
work today 
yeaaaahh . 
leaving tomorrow 
d= indeed 
me too 
rude . 
still jealous 
work ... 
being upset 
that sucks 
rubbish ! 
me tooo 
: aw 
real stressed 
- sigh 
sooo cloooseee 
scary ! 
passed away 
to doente 
missing ontario.. 
mouth hurts 
me 2 
has toothache 
no sucky 
its cold 
r.i.p curls 
massive headache 
hand hurts 
me too 
hates moving 
have fun 
aaaaaaaaaaa mcfly 
why ? 
rip michael 
me either 
oceans 12 
ok then 
hangover today 
projects suck 
miss you 
yeah . 
bad day 
sunburn ouch 
is revisingg 
its brokey 
how nice 
thank you.. 
playdate cancelled 
last ff 
wants cookie 
i knoooooooooooow 
motherfuck qw 
awee ! 
thank you 
pinched nerve 
me too 
no idea 
doctors appt 
such.a.tease . 
bloody sunburned 
really sick 
why ? 
not funny 
- nope 
i sorry 
tummy hurts 
why ? 
that sucks 
sooo mad 
sick again 
of course 
sneezing frequently 
big huggs 
still waiting 
fighting again 
storming outside 
workin . 
deadlines ! 
missesso much 
call me 
heading home 
at work 
cleaning time 
schade tv_addict 
uh oh 
me too 
cloudy today 
that sucks 
by newark 
why ? 
ew agreed 
moving away 
pulling articles 
yep . 
mad traffic 
surgery . 
sorry lol 
blinded again 
hate fighting 
it was 
mower shopping 
that sucks 
work ... 
not happy 
not happy 
-- nothing 
bye . 
awwwwwww holly 
exactly ! 
back home 
symphonic i 
found none 
im sorry 
doing chemo 
work mostly 
im sorry 
awwwwww *hugs* 
public bathrooms 
raining again 
reaaaallly bored 
me too 
i cant 
why ? 
dead gerbil 
more sunburn 
/67h72 - 
/67h72 - 
without me 
please ? 
me too 
soreeeee throattttttt 
i know 
without anyone 
history project 
so jealous 
missing bham 
ryaaaaaaaaaaaaan /snjen 
still working 
its raining 
sorry ali 
is confused 
following'causeordered it 
workyay ! 
feeling lonely 
miss you 
has cramps 
... ..headache 
me too 
so upset 
fuck everything 
i know 
homework borriing 
you haven'tback 
their loss 
yes please 
no way 
craving coffee 
headache boo 
nothing yet 
awwwww . 
rain delay 
so exhausted 
ouch . 
me neither 
me too 
why ? 
me too 
yeah same 
nothing yet 
packing ... 
shareeee . 
working until10 
ew traffic 
brittany moved 
sold out 
me salvem 
sunburnt again 
unfortunately yes 
mrs.bates left 
was late 
need dayquil 
head hurt 
i guesss 
too tired 
it stings 
environmental project 
its stormy 
hates scaleeeee 
me too 
feel dpressed 
oh yeah 
miss you 
why ? 
so jealous 
power out 
my hamster 
headache . 
sure was 
procrastination nooo 
argh ! 
kennedy released..com/inside/industrynews/kennedyreleased 
lucky ! 
brain fart 
yeh .. 
has insomnia 
stomach ache 
really ? 
gladandare together 
tummy storm 
thats sad 
so bored 
powers out 
leg hurts 
probly not 
t-96 hours 
same here 
me too 
i wish 
me lonely 
neeeed food 
lonely . 
miss you 
throwing up 
still moving 
woe . 
boooooooooooooooo . 
no invite 
me too 
aw shoot 
: awwww 
exhausting day 
ty , 
me too 
i wishhhhh 
threw up 
yeesir ! 
emergency vet 
heart burn 
that sucks 
not yet 
no lol 
oh no 
my puppy 
depressed again 
so upset 
sorry dear 
ugh nuggs 
**sad face 
thanks . 
me too 
noo lol 
me too 
shit ... 
bsource down 
oh poo 
they lost 
packing ) 
aww . 
everything hurts 
awe..snow days 
mine tooooooooo 
aw shucks 
me toooooo 
surgery ? 
are on.. 
nope . 
sad ! 
belly ache 
its raining 
oh boo 
head hurts 
boo you 
cochina envidia 
so tired 
me too 
kathryn withdrawl 
fuck tonight 
y knott 
unbelievably ... 
im sad 
at work 
poor teddy 
awwww shucks 
so bored 
damn canadians 
how annooying 
aww honey 
this sucks 
who ? 
why ? 
how depressing 
pain hurts 
awe why 
so tired 
com sono 
is confused 
so tired 
me too 
its cold 
you won 
aww why 
nothing else 
cookery sucked 
me either 
extremely naucious 
what ! 
eeeeemail ! 
miss you 
i know 
not good 
hey everyone 
