oh dear . were you drinking out of the forgotten table drinks ? 
my achilles heel for spending is x dvd 's for �20 in hmv 
amazon mp3 downloads down to 29p so much for my 10 % cheers/dg5qtg 
is finally home after a shitty day at work doing floorset ... ... 
at work and tired . doing reports ... fun ! no not really 
i 'm trying to fine friends on twitter ... no luck so far 
yay no work todayyy but working for the rest of the week lol 
just got back from picking up my parents ... goodbye house to myself 
in this day and age doctors should n't take this long with results 
wants to play resident evil but school and work getting in the way 
i 'm missin my baby ... really needed to talk to him today 
school . and errands . without will and that 's the sad part 
now i 'm kind of sad after all the bullshit i found out 
no , it 's because i 'm an author , not a subscriber 
lan at 's withwas a blasty-blast . now it 's time for home 
only 18 more days left in london , where did the time go 
ughhhhh i so did n't see that coming on house . ilu bb 
going to the dentist again i mean , tooth spa right ; ) 
is awake at a sensible time and is doing alot of coursework bohoo 
omg this bed is making me sick i cant even sleep in it 
thi m4 v ? , c�i ? ? u b ? ? i�n 
last 2 days in my nice little office . dont wan na move 
i cant give up smoking ... i tried but it 's not easy.. 
bugger its all good today ! might have to error check things then 
madre is grinding on me this is gon na be a long week 
hang on . does anyone use fax machines any more ? ? ? 
is waiting for the scrappers to come to pick up his old saab 
is looking for a dress for her friend but ca n't find it 
feels slightly ill. guess i shouldnt have eaten mc ds after all . 
winter is slowly creeping into cape town not looking forward to it ... 
i hate this time , i am super bored but everyone is sleeping 
agreed . i wish it could just be pure and easy fun . 
no sun here and i was hoping to sit out on the balcony 
i would love to be ill next week dude ... but no pay 
thinks she is going to be at this traffic light all night haha 
dramaa assignmenting is gay . too sick but i have to do it 
what is this ? ? i feel hotter.. i 'm sicker than ever 
aww no fair , you did n't check the pic i sent you 
miss you too ... it 's been too long ! come back ! 
the computers might be operational but there still is n't much to do 
im still awake too lol cant sleep glad your up tho ( : 
damn ! i missed out ? why did n't you invite me ? 
except i missed last weeks s.lee and now it 's gone from iplayer 
andre riue on neighbours..what has the world come to ... internets down lol 
working but looking 4ward 2 thailand and this weeks bank holiday weekend ! 
ewww cookies and cola dont mix well together ... my tummy hurts now 
broke my tooth yesterday it feels like it 's spilt in half . 
aw - snapcase arent getting back together ... i must have dreamt it 
wishing we had fast internet now ... .not in 8 years ! /i72oi 
my dota ladder stats on garena do n't seem to have been updated 
i will never like getting up at 5 am dumb work schedule . 
manu ginobili is out for the rest of the season and the playoffs 
im up ... i slept an hour last night ... death ... . 
gd mornin world . i hav a cold.. my throat is burnin ! 
nothing much , not well , in bed all day ! ! ! 
well , my foot odor problem is def . back ! hmph . 
cant eat , drink or breath properly thanks to the bad throat infection 
the leeds festival twitter man has lied . there is no update . 
no , i do n't have money , i 'm very upset too 
ahhhhh so when are you leaving ? will you not make friday ? 
thanks for the link allan-dm not working ... laptop on a go slow 
cant eat , drink or breath properly thanks to the bad throat infection 
it rains heeaaavily outside and i trap in this building cant go home 
*hugs back* thanks hon . i ca n't believe he 's gone ! 
http : //twitpic.com/2y8lt - i feel so bad for the band right now 
is going to the tenancy tribunal tomorrow try to get my bond back 
nz the place to be ! miss my own bed a bit though 
feeling stressed about my little dog who looks like he has spinal injuries 
really need to do something . watched one to many hannah montanna 's 
who is working over the holidays ? ? i am ! ! ! 
is the chat on line yet ? now not on freeview not good 
guess i ca n't ask you to help me find blue contacts then 
i was being nice . poor you ... .hope you feel better soon 
err the storm has ended . not sure who 's been devastated more 
why is everything biting me ? first the hamster , now the cat 
ako sa lahko a lacno dostat ku knihe normana fairclougha analysing discourse ? 
thats no good kimma ... what kind of sick do you feel ? 
so friggen jealous of sarah . bradie webb was talking to her ! 
yeah i know ... sometimes i feel like the world its coming down 
is n't sure how much she will use this : blocked at work 
i think the chem and applic tests tomorrow are going to rape me 
i hate waking up in the middle of the night for no reason 
m is the only thing i know like that back of my hand 
... i just did laundry ! but now it 's 7am . lame 
m is the only thing i know like the back of my hand 
at gatwick . watch on bst , body 8 hours behind on pdt 
i miss angiii i miss talking too her i love you angiii ! 
man i should n't have put cheese on that crab salad sandwich ... 
wow - great day - sun sun sun but have to work now 
i thoughtwould be all about twitter in tooting . i 'm disappointed . 
school ... but at least theres only 2 more days till break ! 
worst day at school 2day i hate ellen and jaime there soo horrible 
why ca n't i live near/work with lovely ladies like you ? ? 
why is it so cold ? i need my paddington bear duffel coat 
feels a bit rough today soooo ca n't wait for this long weekend 
a spider ? can it be covered when im round ? slight phobia 
at work and i 'm tired even though i went to bed early 
rickey smiley is okay but i really miss the big phat morning show 
i 'm pretty sure i have a small cold ... ugh baby germs 
aww , thank you so much ! i want to see it too 
shame processing pics is n't as much fun as actually taking them . 
haha i know ! i missed the series premier of greek too ! 
i wish , going for a blood test tomorrow am not well unfortunatly 
have fun ! ! am off to do some cleaning at the bungalow 
starbucks . i need coffee ! ! ! ! ! ! then school 
gahhh why do i have to be sick before nyc ! ! ! 
1 death , 1 miscarried n 1 still critical condition is v grave 
fuck why could n't they hold it on a weekend i have school 
12 hours + on doing 3 of my assessments which is due tomorrow 
well after our sunny weekend we woke to ice and snow this morning 
getting back into the grind . wish i was still boarding in tahoe 
do n't hurt or hate me ! i mayyyyy have lost my ring 
is back from new york , but wants to go back so badly 
why ca n't excel 2003 handle more than 7 nested if statements ? 
& quot ; april snow showers . kill may flowers & quot ; 
might have to consider removing it from the studio mac pro tommorow /sniff 
omg i ca n't believe what just happened in this weeks house . 
mcprusa lives ! ! ! always in our hearts . goodbye puerto rico 
ufff , they ` re all now offline ( my moldavian friends ) 
baahh ? ? ? snow ? ! ? ! ... .. gross ... 
is wishing he 'd brought some of the chocolaty treats to work . 
locked out of my outlook account for the 3rd time in 3 days 
on my way to skool late as hell nd i dnt feel gud 
its evening here in india ! right now , studying for exams ! 
i 'm seriously so devastated . hell yes . hahaha . : x 
martin and sam are n't going to be at soccer six this year 
cilla fell off the stage dancing to aitken drum in the last show 
that 's what happened in twilight and will happen in new moon again 
why am i not at the beach with ana and claudia ? ! 
being both a procrastinator and a perfectionist is a terrible combination for university 
i didnt , i dropped the table on it yesterday at krew ... 
still have n't got my coffee . i 'm done . help me 
wondering why asp.mvc has done such a complex issue with simple checkbox stuff 
firefox 3 is so frustrating sometimes . crash every 2 minutes without notice 
god damn ... these hurt ribs are seriously cramping my exercise style . 
they threw away my water bottle annoying on more than one level . 
last qs just announced he 's heading out too - just me left 
doubt anyones even reading these . lol . i have no followers ! 
oh poor wee thing nice to hear she 's been rescued though . 
33 precious minutes with my one and only then no more til tomorrow 
very emotional . just found out n cried gna miss u all xx 
having an awesome time in florida ... but its my last day . 
i hate being treated different by someone when other people are around . 
i have n't slept . boo ! i wish it snowed here . 
so . fell asleep at 630. class in 15 min till 12 . 
painfully slow night , made more painful by a serious lack of sleep 
this stupid cold is taking over me i just want my bed now 
this is insanity ! i ca n't handle all this crap at work 
is feeling coldy , yucky and gross ... i need nursing and cuddles 
all smoked . my rabbit is so cute . but he hates me 
wow it 's freezing today . had to turn on the heat . 
trying to get dan into the o.c ... . it 's not working 
my bed just feels too amazing . dont make me get up ! 
went to get psg boardgame , shop had sold out hello online shopping 
i 'm so sorry . that 's really not fair at all . 
my shoulder is killing me oh my god i cant even move it 
i am not digging the taste of water right now at all . 
i hate global warming and i hate snow . its april ffs . 
ugh where tje glass was pulled out of my foot still hurts . 
i still dearly miss the symfony dev environment when working with zend framework 
can you sign on google ? i need your advice on something . 
ready to go to my cousins ... at five ... its now 14:22 
waaaa my boss is here 2day & lt ; the*4th*death & gt ; 
i ca n't believe i still do n't know where my keys are 
the earthquake in italy happened to be near my family 's heritage ... 
why wo n't my nyt us news rss work in google reader ? 
aww . i want one too . baka next week . hahaha ! 
just woke up . it 's gon na be a perfectly shitty day 
does not want to be awake right now but i have math class 
still sad because jake owen did not beat julian hough at acm awards 
think it 's away to piss down ! ! great ! ! ! 
how 's your tuesday ? i have work and the il05 election . 
i really dont feel like hanging around milpark hospital on thursday *sad face* 
thanks for the budget feed tip . following the disaster as it happens 
enjoying the weather and cuddle my sick cat ... poor girl has epilepsy 
twitter has said i have reached my maximum for searches for now . 
why is my computer so damn slow these days ? no fun ... 
do you remember the 1980 earthquake in irpinia ? people still waiting too 
is loving the sun but is upset she cant make the picnic thurs 
bummin that my local starbucks has no more doubleshots ( cans ) . 
fever broke in the middle of the night , but its rising again 
it has n't asked always the way with the good uns ; ) 
hmm i 'm trying to upload my picture but it is n't working 
'morning , hotties ! our mom caused us to miss the pawpawty . 
its a little bit chilly in my house which means its freezing outside 
why is it cold again ? i 'm not wearing enough layers ! 
haixt , , it 's been a bad day for me , , 
its so nice out today i wish i didnt have to work today 
ack , does n't seem to work anymore was an awesome tool ! 
i hate the weather in taipei . it always makes me sick . 
is mouring the loss of the game ... i really liked that show 
nice . tell deana i 'm sorry i did n't call her . 
needs some laughing material ... today is going to be long and boring 
is having a wonderful morning ... .not ! oversleeping is not good ! 
ugh ! been sick all week ! somebody save me ! ! ! 
i was checking out spotify but you need an invite or to pay 
feeling under the weather and wishing i were in bed with the dogs 
its a sad , sad day im selling one of the puppies today 
set my alarm on 5am instead of 5pm and missed my training class 
in history class . learning about the slaves . i ` m bored 
so scared ! ! ! ! i 'm making my frist sales calls 
i can see it now ... i was having similar issues last night 
figuring out what 's up for today , why 's it cold ? 
just seen the fail whale . for the first time in ages . 
not feeling well today i want chicken noodle soup and my bed ... 
i havent been home since xmas break . lm a lil homesick faith.hope.love 
failing my stats class well dangerously close meghan rose & lt ; 3 
dial-up , ewww , did n't know people were still on that . 
i wish everyone would just get along ah well , c'est la vie 
wish i could come see everything but i 'm at work all day 
taking my dog to the vet soon i hope everythings okay with her 
i 'm not going to make it way way to ill ... . 
wish blake griffin would stay one more year , but i know better 
come home to expect his warm hug & amp ; gets none ! 
i 'm shocked i thought nyc was cock full of quality nail shops 
i dislike dreams that make you feel sad even after you wake up 
pooooo ! ! do i have to go to work today ! ! 
woke up to see the ground covered in snow ... in april ! 
fighting a horrible sinus infection ! makes for very long conference calls ... 
what happened to your icon ? i liked that little green ferocious guy 
being bored ... not wanting to go to work ... and sick yay.. 
trying to do my 1st twitpic but my phone is not cooperating ! 
its only been two days and i miss dance already class blahhhh xo 
so glad eddie 's okay ... really sucks about the car , though 
i so do not want to be awake right now boo school ! 
you spread the sickness ! stop looking at me when i cough ! 
big mama is missing her mommy ! she is always gone ! .com/dogbook/profile/view/6305303 
wishing for spring temperatures ... ..had to break out the winter jacket today 
i hate watching trees getting cut down ... it depresses me ! ! 
sick ca n't wait to go back to my room and sleeeeep . 
sick at work took monday off ... gon na take tomorrow off . 
no cufon for this project , $ 1500 additional fee for web embedding 
just got 2nd opinion about my illness . not a good opinion . 
already hungry for lunch and it 's not even 11:00 am yet . 
that 's terrible ! did they do a midnight move or what ? 
just realized she doesnt have a copy of the novel for empire tomorrow 
only 610 applications for gsoc from india and 202 from china ! ! 
headache + anthropology + work in 2.5 hours = need to be pampered 
crap i 'm a little bit old-school , but i like blockbuster . 
haha . get backup ones ? are you in math right now ? 
is about to go paint a house , and missing my bestest friend 
awww i 'm sorry . when is it supposed to be delivered ? 
are you really changing your name to mich ? ! please say no 
i miss those kinder easter eggs ! i can never find them here 
unrelated , i totally left my jacket at the bar last night . 
idk-y ! ! he does n't like them ! ! ( frowning ) 
me too thats y i still have weird pic as my default lol 
bored , watching the hockey game . bus251 final at 8:30 tomorrow . 
i want watch a movie , but i dont find my dvd ! 
ok i have to get to bed moving tomorrow and the next day 
not going to fall out boy anymore . i feel like crap . 
http : //twitpic.com/3i3cv - r yall gon na h8 me 4 this ? 
my phones about to break . it was in a puddle of water 
i really luvand i wish he would reply.. ! ? mucha.. mucha.. ! 
i have to write fishman 's bs essay while at a funeral . 
getting sooooo tired , got ta be at work at seven am yuck 
ugh . looks like the blues might just lose this one too . 
is bored - stuck inside after the snow storm , nothing on tv 
im lonely keep me company ! 22 female , fort myers - florida 
awwww . and i did n't get to be the hero ... . 
at this rate i 'm never gon na finish all of my papers 
wants to go watch the footy but has no one to go with 
i wish i would make work disappear with the snap of my fingers 
i wish i could make work disappear with the snap of my fingers 
http : //twitpic.com/3i613 - the closest thing to snow i 've ever seen 
nooooooooo i can hug you though ! that was random sorrrry ! ^.^ 
thats sad that he is sick ! and i miss you too ! 
ha i 'm sad tho oh no ca n't wait to hear ! 
why am i awake @ 8am on a sat morning ? ? whyyyyyyyy 
why am i awake @ 8am on a sat morning ? ? whyyyyyyyy 
reeeeeeeeeealy wants some mickey d 's dollar menu cheeseburger . i 'm huuuuuuuuunnnnnngggggrrrrryyyyy 
/3hxpf - hahaaahahaaaaahahaahaaa ... oh sorry ... .wtf were you thinking ? ! 
on my way to lakeview , really sad i could n't makeconcert ... 
hey my phone got stolen so please tell me at ur doin tonite 
y is ashton kutcher rubbing his 1 mil followers in my face ? 
who knew it was possible to be allergic to band-aid adhesive ... ? 
thanks for the links and news update . that 's really disturbing . 
ca n't find them in my rhapsody mayhap you can share sometime ? 
when am i gon na finally be not sick ? ? ? ? 
is off to sleep - hopefully . thanks for the company nat xx 
absolutely adoring my son ! ! he 's growing up too fast though 
why waste such a great username ? give it to meh plz ? 
im lonely keep me company ! 22 female , ithaca - new york 
is up for the day ... bummer of a day so far ... 
exactlly , that what happend to me inshallah i will change that soon 
yiu are who i want right now youy make me feel okay ! 
at riot room waiting for the hot wife of fohp 's guitar player 
he 's leaving us ( sc ) and moving to cali today . 
i feel like writing on tumblr but i do n't have a laptop 
finally home . watchingon kimmel and going to bed ( sans chihuahua ) 
so much pain haha . god , kayla , we 're stupid . 
& amp ; fyi ... that suuucckkks ! ( bout the carrrr ) 
my alarm is set to go off in three and a half hours 
getting ready for bed . its gon na be an interesting night ... 
wonders why do weekends fly by ? and where do they go ? 
got saturday school tomorrow blah hate saturday school sleepover in couple weeks xd 
im lonely keep me company ! 22 female , fort worth - texas 
im lonely keep me company ! 22 female , new haven - connecticut 
mannnn i gern out man lol i cnt take being ganged up on 
my boyfriend has decided to depress me by putting in paradise lost . 
aka st george 's day - the universally uncelebrated national day of england 
lil moo moo has a bad cough ... .. wide awake ... . 
where did my last tweet go ? ? it was from tweetie . 
rip little mouse . i 'm sure your family will miss you buddy 
text me back then . do n't be made at me stink please 
i know the feeling today ! i need you here to make coffee 
so sad christopher maybe , we see us in berlin or something ! 
georgous day pittsburgh ! going for a run then spending the day studying 
/3iquy - i miss your old hairstyle daniel but you still look great 
i would totally go if i was n't finishing all the invites . 
i dnt like it whn ur sad , it makes me sad too 
looks like another beautiful day here today - i love it ! sorry 
at least not from mine to yours . i 'm sorry love . 
its kind of cold here today what happened to the nice weather lol 
i 'm not . i got this field trip for my geog class.. 
sometimes it 's better out than in . i feel for ya . 
just bought a wheel barrow . time to start moving some rocks . 
good morning ! ! ! ! ... ..rainy day.. no climbing today ... 
thinking about all the work that will need to be done this weekend 
i can already tell today is gon na be a bad day . 
awh ... that 's kinda sad lol add me ? ? hello.kitty . 
woke up from a nightmare andwas n't here . & lt ; /3 
im lonely keep me company ! 22 female , parkersburg - west virginia 
green tea with lemon..yummmm ! ! ! wish i had peach detox tea 
just walked the dog . everyone else is hot but im stone cold 
man ... im nervous for today haha fuck you rachael for leaving me 
im lonely keep me company ! 22 female , bismarck - north dakota 
down with fever catch you tomorrow everyone , gon na sleep early ... 
im lonely keep me company ! 22 female , new orleans - louisiana 
i am at traffic school . boo oh well only last till 1:00 
rt : today is n't looking much better in houston . sorry /c346kx 
my little one is at urgent care this morning with my husband . 
doing course work better than being in work i suppose ! ! ! 
hahahah i think a church choir just walked by ... i need company 
what format are the templates ? i do n't have any adobe software 
noes . it 's saturday . it 'll be slow all day . 
apparently one is not to take a b12 pill without eating first lol 
coffe at the cup with sandi . it 's a rainy morning though 
something is wrong . i killed my ipod touch in seven hours . 
i would have loved to organized one but do not have the technology 
i 'm trying to do my work and watching come dine with me 
yeeee ! \o/ ! ! ! i has work in 30 mins waahhhhh 
getting ready.. ! my hair will not do as i wish ! ! 
is trying to start studying again in this *gulps , horrifying hot weather 
and you 're lucky , i 've only had sad and frustrated filo 
hanging with friend . and doin hw . guy went to brunch . 
stuck at work on an absolutely gorgeous saturday . this is so unfair 
sitting in an apartment in san francisco and wishing i was at home 
just so you all know , it looks as if mikeyy 's back 
its so nice out and i 'm chained to my school books . 
too much champagne last night most expensive hangover in a long time ! 
ok battery almost dead . need to stop twittering and watching scores . 
you 're so not gettin yer mitts on my gameboy now , biatch 
has a swollen ankle but is sorted with twilight & amp ; sunshine 
tomorrows the last day of spring break it went by to fast ! 
a lily nem a sam nem a linds me respondem ... . droga 
want to make a breakfast burrito but i 'm out of cheese . 
i 'm so excited ! ! ! wish i had a pet ... 
just got back from eldridge . had to work the gates yuck ! 
just got home ... can only tweet from the web until may 15th 
i do n't know if my friends and family will support me ... 
i know the feeling ! only a few weeks of the season left 
found the perfect prom dress today ! shame about the price tag xxxx 
waiting on something ... i hate being nervous . i get sick . 
yes i 'm driving but going to have one glass of bubbles ! 
im lonely keep me company ! 22 female , ithaca - new york 
century club ! i only made it to 35 this time fail . 
mehhh , open-source tools and apps rarely do , in my experience . 
you were right ... i did n't make it to class this morning 
im lonely keep me company ! 22 female , buffalo - new york 
are you going to let us know how exaggerated it is then ? 
watching the harry kalas memorial on tv . it 's so sad . 
swindon draw , blackburn lose man this is turning into a nightmare season 
at joy 102.5 today . it 's too nice to be working inside 
scott just left 20 minutes ago , and i miss him already . 
im lonely keep me company ! 22 female , charlotte - north carolina 
haha i 'm from brazil , but i cant speak spanish , sorry 
running out of battery . bummed i ca n't live tweet notes fromtltsym09 
none of my friends have twitter ! ! gosh they are so boring 
gon na go shopping at kingsway.. all by myself ... ... ... ... 
what do you mean whats mine saying ... it just carried on ringin 
yogurt was nice . but now petra feels bloated . gettiering ready now 
oh no ... ! who left the door opened ? ! grrr ... 
finished work , have a lump on my head and a killer headache 
what makes iago evil ? some people ask . i never ask . 
woke up to the sounds of a tree being cut down poor tree 
wan na have who you callin ' money grubbin by the beach girlz 
what a night ! ! studying all day now then bartending at 11 
sometimes i hate having to choose even when its an easy choice . 
well , looks like i'lll just have to lower it to very easy 
i would tell you if i could dm you but i ca n't 
yeeeah . dont laugh about me its ... well ... interessting ; d 
i never get direct messages.. must not be exciting , hm ? xd 
who the fuck told u it was okay to go back home ? 
good morning saturday ! ! ! ... ehh spring break is almost over 
find the truth about that . hope is not true @ all . 
busy day gardening and planting seeds today now to start with the work 
omg i need plans for tonight ! ! no one is doing anything 
did n't this it would be this hard . i love you grandaddy 
im lonely keep me company ! 22 female , new orleans - louisiana 
i am up in west branch at the lake with the kids . 
yay ! all the images are now uploaded . now onto wiki markup 
im lonely keep me company ! 22 female , charlotte - north carolina 
tch such a pity i 'm gon na miss you 're trip here 
dear god . scariest image ever = stinky dave s. deep-throating a corndog 
eyes are so droopy but alarm clock has completely woken me up . 
hot zombie black chick got her head bashed with a fire extinguisher . 
i am officially finished for the winter season 1 more week of snow 
from now on i refuse to share feelingz , cuz shyt never change 
going to kyle 's ceremony for his deployment to iraq . sad day 
that sounds horrible . it 's nice and sunny down here in florida 
i came second in 2 games of squares today ... always a bridesmaid 
are you here yet ? have you noticed the sky is falling ? 
yo thanks for the heads up ... might be in chelyabinsk that weekend 
slusherrr : i know . i hope all us sophmores make it . 
just woke up . started off my day by dropping my crackberry . 
thanks hun ! it sucks..i 'm looking outside wishing i was not here 
did so many arrands today and im so tired need nap before babysitting 
listening to some dance music getting dressed for tonight yeah no booze tho 
lol woops sorry my sister ate what i left over for you x 
good luck ... portia is a bitch and andy is a born asshole 
stupid back robbery in vancouver is keeping our news cameras away . webraising 
... beautiful weather ... long day ahead..so much to do so little time 
aw , that 's sad . i 'm sorry to read that . 
oh . wow . dont look at people or scream conor oberst . 
do it ! ! ! ! ! ! ! start feelin ' guilty 
i hate when childish petty feelings come before the welfare of the child 
same i cut my finger right through the finger nail with scissors *cries* 
so sad bc she just finished & quot ; fade & quot ; 
excited and sad for my last cheer comp . of the season ! 
is super pissed cause she missed the guy she like on chat ... 
is probably going to the doctor tomorrow ... my back hurts so bad 
wish i could watch ! im out of town and only mobile *_* 
you missed bowling with the fam wish you were still here ! ! 
really wants to be outside enjoying this weather..i 'm stuck at work instead 
should have done soo much school work today , but i dide n't 
i slept last night , but then i slept in all day . 
misses lizzi and has to pack & gt ; sad & lt ; 
i 'm sorry megan is there anything i can do to help ? 
i hate my mom ! ! i need to see demi ! ! 
- aww . i 'd hate to be allergic to an animal . 
wants more celebrities to come to england .. i miss florida real bad 
has had a really unproductive day i 've got loads to doo arghh 
i want to go out why must history be so , wordy ? 
britans got talent was good ! now im writing my english boo hoo 
even the ac30 ? i could have taken that off your hands ! 
at home . in bed . with a cold . life sucks . 
stressing , everytime speedy tries to make it right he makes it worst 
sup withfollowing some people , and not me ? how sad . haha 
clouds rolling in , hard to believe i got a little sunburned today.. 
bout to leave but dont want to leave my new music set up 
oh my poor suga ! make me cry ... & lt ; \3jlp 
butis n't there right now just tell him be nice and follow back 
i ca n't sleeeeeeeeep ! ! ! i need a goodnight kiss ! 
emailing oceanup about today 's event , even though i didnt go ! 
ahh.. now i 'm sad because i was there just 2 days ago 
everyone is enjoying the nice day outside i hope my day gets better 
i am getting jip for watching f1 highlights on the web ... .. 
dang well , i hope you are staying dry . be careful ! 
only if you were standing around at the venue 6 hours before doors 
lonely . i want to crawl into bed with my teddy and mope 
i is sad ... patches is injured and did n't play last night 
i have to wait for the rest of the season to download . 
: who the heck is the fat then ? cuz thats not nice 
good call , but they were gone by the time i got there 
we ca n't come to pussycatis today because our humanis on a train 
finally getting some work done on this project . predicted finish time 10pm 
i still cant believe the van is gone . so many great memorys 
asot400 odd transition ... anyone know when the video should be up ? 
damn us and our sickly bodies ! lol . ouch i hurt ! 
hi peeps . im so bored , dont want the holidays to endddd 
so tired . and my spring break is coming to an end . 
hates how i have allergy from dogs but i 'm a dog person 
my god i really love my big sister . i miss her . 
im doing 4 weeks worth of homework and going to london till tuesday 
at my nephews going away party . he 's leaving for iraq tomorrow 
monday unfortunately you ? oooh , i love mario kart , haha . 
nice seeing you last night doll ! i wish it was still everyday 
i�d love too , but there are no brazilian holidays in may ! 
last two weeks r coming so fast , dont want it to end 
i cant believe you & amp ; amy are abandoning us ... criessss 
oh no ! ! ! ! nobody read me maybe because i�m mexican 
on my way home from terra haute : p i 'm so sore 
i am gutted that we lost , fabianski ballsed it up so bad 
im lonely keep me company ! 22 female , grand rapids - michigan 
http : //twitpic.com/3jwgc - yeah my web cam is tres bien ... fuzzy 
traffic to coachella is a biatch . think we 'll miss joss stone 
as in left for the day ? or left long term ? ? 
did a reboot and i still ca n't get adobe-air to uninstall . 
im lonely keep me company ! 22 female , el paso - texas 
literally ? or just left the building 'left ' ? arsehole if so 
about to go to a pary i dont wan na go to . 
not feeling well today reading fashion mags & amp ; drinking tea . 
damn you , noah wyle , and your depressing polar bear commercial ! 
i hit the car . he turned out in front of me . 
tweets are quite boring tonight and no1s speaking to me online odears ! 
it 's a nice day out , and i am @ work . 
back to school tuesday but then its only 5 weeks till summer yay 
school 's tomorrowwww ! ! ! aaaahhh i 'm not prepared yet . 
sorry i updated ! ! im addicted and must tweet ! ! ! 
im lonely keep me company ! 22 female , virginia beach - virginia 
is missing jon rather alot and hope he finishes work early ! ! 
why is there a crying bumblee in transformers 2 ? do not want 
1 week without client projects should start my own projects ... but what 
at work . seems like it 's gon na be a busy night 
kills you in what way ? i ca n't drink red-gives me heartburn 
still has to do school work and is not looking forward to it 
i tried to private message you , but it would n't let me 
i wish my family would accept me like they do my brother . 
what is going on with my yankees , are you kidding me ? 
just been whooped at bowling but i killed my bro at air hockey 
